Run finished at Fri Oct 27 17:38:31 2023
Global runtime       = 91349ms / 91.349s
Number of processors = 1
# Rank: 0

                                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |          1 |      91349 |      91349 |      91349 |      91349 |          1 |
                                                                                        advance |        789 |        554 |          7 |          0 |          0 |    0.00606 |
                                                                        advance/m2n.receiveData |        789 |         35 |          0 |          0 |          0 |   0.000383 |
                                                                           advance/m2n.sendData |        789 |         41 |          0 |          0 |          0 |   0.000449 |
                                  advance/map.nn.mapData.FromForce-Mesh-FluidToForce-Mesh-Solid |        789 |          1 |          0 |          0 |          0 |   1.09e-05 |
                                  advance/map.nn.mapData.FromNurbs-Mesh-SolidToNurbs-Mesh-Fluid |        789 |          0 |          0 |          0 |          0 |          0 |
                                                                                      configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |          1 |         44 |         44 |         44 |         44 |   0.000482 |
                                                                                     initialize |          1 |        138 |        138 |        138 |        138 |    0.00151 |
                                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          4 |          2 |          2 |          2 |   4.38e-05 |
                                                      initialize/m2n.exchangeVertexDistribution |          2 |         89 |         45 |         43 |         44 |   0.000974 |
                                                         initialize/m2n.requestMasterConnection |          1 |          1 |          1 |          1 |          1 |   1.09e-05 |
                                                         initialize/m2n.requestSlavesConnection |          1 |         94 |         94 |         94 |         94 |    0.00103 |
                                              initialize/partition.prepareMesh.Force-Mesh-Fluid |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Nurbs-Mesh-Fluid |          1 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Force-Mesh-Solid |          1 |         41 |         41 |         41 |         41 |   0.000449 |
                                        initialize/partition.receiveGlobalMesh.Nurbs-Mesh-Solid |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                 initializeData/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                    initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromForce-Mesh-FluidToForce-Mesh-Solid |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromForce-Mesh-FluidToForce-Mesh-Solid.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromNurbs-Mesh-SolidToNurbs-Mesh-Fluid |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromNurbs-Mesh-SolidToNurbs-Mesh-Fluid.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromForce-Mesh-FluidToForce-Mesh-Solid |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromNurbs-Mesh-SolidToNurbs-Mesh-Fluid |          1 |          0 |          0 |          0 |          0 |          0 |
                                 initializeData/query.index.getVertexIndexTree.Force-Mesh-Solid |          1 |          0 |          0 |          0 |          0 |          0 |
                                 initializeData/query.index.getVertexIndexTree.Nurbs-Mesh-Solid |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |        789 |      79645 |      22125 |         64 |        100 |      0.872 |
                                                                              solver.initialize |          1 |      10959 |      10959 |      10959 |      10959 |       0.12 |


                                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |      91349 |          0 |      91349 |          0 |          1 |
                                                                                        advance |          7 |          0 |          0 |          0 |          0 |
                                                                        advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                           advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromForce-Mesh-FluidToForce-Mesh-Solid |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromNurbs-Mesh-SolidToNurbs-Mesh-Fluid |          0 |          0 |          0 |          0 |          0 |
                                                                                      configure |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |         44 |          0 |         44 |          0 |          1 |
                                                                                     initialize |        138 |          0 |        138 |          0 |          1 |
                                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                      initialize/m2n.exchangeVertexDistribution |         45 |          0 |         43 |          0 |   0.955556 |
                                                         initialize/m2n.requestMasterConnection |          1 |          0 |          1 |          0 |          1 |
                                                         initialize/m2n.requestSlavesConnection |         94 |          0 |         94 |          0 |          1 |
                                              initialize/partition.prepareMesh.Force-Mesh-Fluid |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Nurbs-Mesh-Fluid |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Force-Mesh-Solid |         41 |          0 |         41 |          0 |          1 |
                                        initialize/partition.receiveGlobalMesh.Nurbs-Mesh-Solid |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |          0 |          0 |          0 |          0 |          0 |
                                                                 initializeData/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                    initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromForce-Mesh-FluidToForce-Mesh-Solid |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromForce-Mesh-FluidToForce-Mesh-Solid.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromNurbs-Mesh-SolidToNurbs-Mesh-Fluid |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromNurbs-Mesh-SolidToNurbs-Mesh-Fluid.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromForce-Mesh-FluidToForce-Mesh-Solid |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromNurbs-Mesh-SolidToNurbs-Mesh-Fluid |          0 |          0 |          0 |          0 |          0 |
                                 initializeData/query.index.getVertexIndexTree.Force-Mesh-Solid |          0 |          0 |          0 |          0 |          0 |
                                 initializeData/query.index.getVertexIndexTree.Nurbs-Mesh-Solid |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |      22125 |          0 |         64 |          0 | 0.00289266 |
                                                                              solver.initialize |      10959 |          0 |      10959 |          0 |          1 |
